periodo,cole_mcpio_ubicacion,estrato_num,edu_madre_num,edu_padre_num,indice_activos,fami_tienecomputador,fami_tieneinternet,fami_tieneautomovil,fami_tienelavadora,es_privado,es_urbano,cole_bilingue,genero_num,punt_matematicas,punt_lectura_critica,punt_c_naturales,punt_sociales_ciudadanas,punt_ingles,punt_global,bajo_rendimiento,desemp_ingles
20224,CHINCHINÁ,6,8.0,8.0,4.0,1.0,1.0,1.0,1.0,1,1,,0.0,54.0,49.0,54.0,49.0,70.0,265.0,0,B1
20224,LA DORADA,2,8.0,4.0,2.0,1.0,1.0,0.0,0.0,0,1,0.0,0.0,38.0,35.0,45.0,36.0,33.0,190.0,1,A-
20224,MANIZALES,2,4.0,,2.0,0.0,1.0,0.0,1.0,1,1,,0.0,52.0,58.0,55.0,56.0,42.0,271.0,0,A-
20224,ANSERMA,2,2.0,,2.0,0.0,1.0,0.0,1.0,0,1,0.0,0.0,46.0,46.0,38.0,34.0,40.0,205.0,1,A-
20224,MANIZALES,2,4.0,,2.0,1.0,1.0,0.0,0.0,1,1,0.0,1.0,52.0,52.0,46.0,40.0,31.0,231.0,0,A-
20224,SAMANÁ,2,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0.0,1.0,40.0,40.0,33.0,36.0,35.0,185.0,1,A-
20224,RIOSUCIO,3,1.0,1.0,4.0,1.0,1.0,1.0,1.0,0,1,0.0,0.0,38.0,59.0,44.0,44.0,54.0,234.0,0,A1
20221,MANIZALES,6,9.0,8.0,4.0,1.0,1.0,1.0,1.0,1,1,0.0,1.0,61.0,61.0,56.0,47.0,61.0,283.0,0,A2
20221,MANIZALES,3,,,4.0,1.0,1.0,1.0,1.0,1,1,,1.0,53.0,63.0,57.0,61.0,71.0,297.0,0,B1
20221,VILLAMARÍA,6,9.0,9.0,4.0,1.0,1.0,1.0,1.0,1,0,1.0,0.0,76.0,78.0,64.0,76.0,100.0,378.0,0,B+
20221,MANIZALES,3,3.0,,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,23.0,46.0,40.0,29.0,29.0,170.0,1,A-
20211,VILLAMARÍA,4,9.0,9.0,4.0,1.0,1.0,1.0,1.0,1,0,1.0,0.0,79.0,67.0,70.0,75.0,85.0,368.0,0,B+
20211,MANIZALES,4,8.0,8.0,4.0,1.0,1.0,1.0,1.0,1,1,1.0,0.0,76.0,66.0,64.0,65.0,82.0,344.0,0,B+
20211,MANIZALES,2,4.0,4.0,2.0,0.0,1.0,0.0,1.0,1,1,0.0,1.0,49.0,54.0,48.0,34.0,47.0,232.0,0,A-
20211,MANIZALES,3,4.0,4.0,3.0,1.0,1.0,0.0,1.0,1,1,0.0,1.0,34.0,45.0,43.0,39.0,31.0,198.0,1,A-
20211,MANIZALES,6,8.0,6.0,4.0,1.0,1.0,1.0,1.0,1,1,1.0,0.0,69.0,67.0,66.0,67.0,86.0,343.0,0,B+
20211,VILLAMARÍA,6,8.0,7.0,4.0,1.0,1.0,1.0,1.0,1,0,1.0,0.0,69.0,69.0,70.0,73.0,86.0,357.0,0,B+
20211,MANIZALES,1,6.0,1.0,3.0,1.0,1.0,0.0,1.0,1,1,0.0,1.0,58.0,42.0,43.0,52.0,39.0,240.0,0,A-
20211,VILLAMARÍA,4,8.0,8.0,4.0,1.0,1.0,1.0,1.0,1,0,1.0,0.0,71.0,68.0,66.0,57.0,77.0,332.0,0,B1
20211,MANIZALES,3,8.0,6.0,4.0,1.0,1.0,1.0,1.0,1,1,,0.0,52.0,63.0,53.0,50.0,65.0,277.0,0,A2
20211,MANIZALES,5,8.0,8.0,4.0,1.0,1.0,1.0,1.0,1,1,0.0,0.0,37.0,44.0,42.0,38.0,,201.0,1,
20211,VILLAMARÍA,4,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1,0,,0.0,46.0,40.0,39.0,45.0,60.0,219.0,1,A2
20211,VILLAMARÍA,2,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1,0,,1.0,56.0,61.0,59.0,60.0,59.0,295.0,0,A2
20211,MANIZALES,4,8.0,,3.0,1.0,1.0,0.0,1.0,1,1,0.0,1.0,56.0,56.0,49.0,55.0,56.0,271.0,0,A1
20211,VILLAMARÍA,4,4.0,,4.0,1.0,1.0,1.0,1.0,1,0,,1.0,66.0,62.0,67.0,64.0,85.0,332.0,0,B+
20211,MANIZALES,4,8.0,8.0,4.0,1.0,1.0,1.0,1.0,1,1,1.0,0.0,63.0,61.0,58.0,54.0,80.0,303.0,0,B+
20211,MANIZALES,3,8.0,4.0,3.0,1.0,1.0,0.0,1.0,1,1,0.0,1.0,56.0,47.0,54.0,54.0,47.0,262.0,0,A-
20211,MANIZALES,6,8.0,8.0,4.0,1.0,1.0,1.0,1.0,1,1,0.0,0.0,76.0,72.0,68.0,70.0,81.0,361.0,0,B+
20211,MANIZALES,2,1.0,1.0,2.0,0.0,1.0,0.0,1.0,1,1,0.0,1.0,53.0,55.0,47.0,48.0,42.0,250.0,0,A-
20211,MANIZALES,6,8.0,8.0,4.0,1.0,1.0,1.0,1.0,1,1,0.0,1.0,70.0,74.0,64.0,79.0,84.0,363.0,0,B+
20211,MANIZALES,6,8.0,8.0,4.0,1.0,1.0,1.0,1.0,1,1,0.0,1.0,40.0,48.0,46.0,40.0,53.0,221.0,1,A1
20211,MANIZALES,4,8.0,9.0,4.0,1.0,1.0,1.0,1.0,1,1,0.0,1.0,75.0,71.0,71.0,69.0,79.0,360.0,0,B+
20211,MANIZALES,3,,,3.0,1.0,1.0,0.0,1.0,1,1,0.0,1.0,52.0,58.0,56.0,56.0,57.0,278.0,0,A1
