"periodo","cole_mcpio_ubicacion","cole_depto_ubicacion","punt_matematicas","punt_lectura_critica","punt_global","fami_estratovivienda","fami_educacionmadre","fami_educacionpadre","fami_personashogar","fami_cuartoshogar","fami_tienecomputador","fami_tieneinternet","fami_tieneautomovil","fami_tienelavadora","punt_c_naturales","punt_sociales_ciudadanas","punt_ingles","cole_naturaleza","cole_area_ubicacion","cole_bilingue","estu_genero","desemp_ingles"
"20224","VILLAMARÍA","CALDAS","59.0","50","270","Estrato 2","Secundaria (Bachillerato) completa","Postgrado","3 a 4","Dos","Si","Si","No","Si","53","53","56.0","NO OFICIAL","URBANO","N","M","A1"
"20224","SAMANÁ","CALDAS","46.0","50","240","Estrato 1","Primaria incompleta","Primaria incompleta","5 a 6","Tres","No","No","No","No","49","48","44.0","OFICIAL","RURAL","N","F","A-"
"20224","MANIZALES","CALDAS","68.0","66","317","Estrato 4","Educación profesional completa","Técnica o tecnológica completa","3 a 4","Dos","Si","Si","Si","Si","61","57","68.0","NO OFICIAL","URBANO","N","F","B1"
"20224","RISARALDA","CALDAS","34.0","31","166","","","","1 a 2","Uno","No","","No","Si","32","34","38.0","OFICIAL","URBANO","N","F","A-"
"20224","AGUADAS","CALDAS","50.0","55","257","Estrato 1","Primaria completa","Primaria incompleta","3 a 4","Tres","No","No","No","No","50","49","55.0","OFICIAL","RURAL","","M","A1"
"20224","SUPÍA","CALDAS","30.0","34","161","","","","3 a 4","Uno","Si","","No","No","29","35","34.0","OFICIAL","URBANO","N","F","A-"
"20224","MANIZALES","CALDAS","29.0","53","197","Estrato 1","Primaria completa","Primaria incompleta","5 a 6","Cuatro","Si","Si","No","Si","35","42","36.0","OFICIAL","RURAL","N","F","A-"
"20224","CHINCHINÁ","CALDAS","60.0","60","303","Estrato 3","Educación profesional completa","Secundaria (Bachillerato) completa","1 a 2","Dos","No","Si","No","Si","55","65","68.0","NO OFICIAL","URBANO","","M","B1"
"20224","MANIZALES","CALDAS","46.0","54","237","Estrato 2","Primaria completa","Primaria incompleta","3 a 4","Dos","Si","Si","No","Si","39","52","44.0","OFICIAL","URBANO","N","M","A-"
"20224","RIOSUCIO","CALDAS","57.0","52","273","Estrato 2","Secundaria (Bachillerato) completa","Primaria incompleta","9 o más","Cinco","No","No","No","Si","57","52","57.0","OFICIAL","RURAL","N","M","A1"
"20224","MANIZALES","CALDAS","32.0","40","185","Estrato 6","Primaria completa","Ninguno","3 a 4","Cinco","Si","Si","Si","Si","32","41","47.0","OFICIAL","URBANO","N","M","A-"
"20224","MANIZALES","CALDAS","59.0","62","325","Estrato 5","Postgrado","No sabe","1 a 2","Dos","Si","Si","No","Si","66","70","75.0","NO OFICIAL","URBANO","N","F","B1"
"20224","MANIZALES","CALDAS","45.0","70","278","Estrato 3","Educación profesional completa","Educación profesional completa","1 a 2","Dos","Si","Si","No","Si","58","45","68.0","NO OFICIAL","URBANO","","F","B1"
"20224","MANIZALES","CALDAS","66.0","68","314","Estrato 3","Postgrado","Postgrado","1 a 2","Dos","Si","Si","No","Si","55","63","60.0","NO OFICIAL","URBANO","N","F","A2"
"20224","SUPÍA","CALDAS","39.0","40","207","Estrato 1","Primaria completa","No sabe","5 a 6","Seis o mas","No","No","No","No","48","40","36.0","OFICIAL","RURAL","","F","A-"
"20224","MANIZALES","CALDAS","46.0","48","228","Estrato 3","Primaria incompleta","Primaria incompleta","3 a 4","Dos","No","No","Si","Si","44","40","59.0","OFICIAL","URBANO","N","F","A2"
"20224","SUPÍA","CALDAS","34.0","52","200","Sin Estrato","Secundaria (Bachillerato) incompleta","Primaria completa","5 a 6","Cuatro","Si","Si","No","Si","41","33","40.0","OFICIAL","RURAL","","F","A-"
"20224","MANIZALES","CALDAS","57.0","70","290","Estrato 3","Postgrado","No sabe","3 a 4","Uno","Si","Si","Si","Si","55","51","56.0","NO OFICIAL","URBANO","N","F","A1"
"20224","MANIZALES","CALDAS","55.0","53","266","Estrato 3","Primaria incompleta","Ninguno","7 a 8","Uno","Si","Si","No","Si","55","53","44.0","OFICIAL","URBANO","N","M","A-"
"20224","MANIZALES","CALDAS","57.0","70","290","Estrato 3","Postgrado","No sabe","3 a 4","Uno","Si","Si","Si","Si","55","51","56.0","NO OFICIAL","URBANO","N","F","A1"
"20224","SUPÍA","CALDAS","32.0","38","168","Estrato 1","Primaria completa","Primaria completa","3 a 4","Dos","No","No","No","Si","35","28","38.0","OFICIAL","RURAL","N","F","A-"
"20224","AGUADAS","CALDAS","48.0","41","202","Estrato 3","Primaria completa","No sabe","3 a 4","Tres","No","Si","No","Si","39","37","30.0","OFICIAL","RURAL","N","M","A-"
"20224","PENSILVANIA","CALDAS","34.0","45","199","","","","7 a 8","Tres","Si","","No","Si","45","34","43.0","OFICIAL","URBANO","N","F","A-"
"20224","MANIZALES","CALDAS","66.0","68","314","Estrato 3","Postgrado","Postgrado","1 a 2","Dos","Si","Si","No","Si","55","63","60.0","NO OFICIAL","URBANO","N","F","A2"
"20224","MANIZALES","CALDAS","68.0","70","335","Estrato 1","Primaria completa","No sabe","3 a 4","Dos","Si","Si","No","Si","66","62","72.0","OFICIAL","URBANO","N","F","B1"
"20224","MANIZALES","CALDAS","42.0","52","222","Estrato 2","Primaria completa","Ninguno","","Cinco","No","Si","No","Si","43","43","36.0","OFICIAL","URBANO","N","M","A-"
"20224","MANIZALES","CALDAS","55.0","53","266","Estrato 3","Primaria incompleta","Ninguno","7 a 8","Uno","Si","Si","No","Si","55","53","44.0","OFICIAL","URBANO","N","M","A-"
"20224","MANIZALES","CALDAS","29.0","35","168","","","","","","","","","","33","37","34.0","OFICIAL","RURAL","N","M","A-"
"20224","AGUADAS","CALDAS","58.0","53","260","Estrato 2","Ninguno","Primaria incompleta","3 a 4","Dos","No","No","No","Si","44","58","37.0","OFICIAL","RURAL","N","M","A-"
"20224","MANIZALES","CALDAS","66.0","66","297","","","","3 a 4","Dos","Si","","No","Si","52","56","52.0","OFICIAL","URBANO","N","F","A1"
"20224","MARQUETALIA","CALDAS","60.0","55","272","Estrato 1","Primaria incompleta","Primaria incompleta","3 a 4","Dos","No","No","No","No","54","49","53.0","OFICIAL","RURAL","","M","A1"
"20224","SALAMINA","CALDAS","60.0","63","290","Estrato 3","Secundaria (Bachillerato) completa","Primaria completa","3 a 4","Dos","Si","Si","No","Si","55","55","54.0","OFICIAL","URBANO","N","M","A1"
"20224","MANIZALES","CALDAS","78.0","77","373","Estrato 4","Postgrado","Educación profesional completa","3 a 4","Tres","Si","Si","Si","Si","74","72","67.0","NO OFICIAL","URBANO","","M","A2"
"20224","MANIZALES","CALDAS","57.0","61","261","","","","5 a 6","Cuatro","Si","","Si","Si","40","52","48.0","OFICIAL","URBANO","N","F","A1"
"20224","MARMATO","CALDAS","50.0","29","190","Estrato 2","Secundaria (Bachillerato) completa","Primaria incompleta","3 a 4","Dos","No","No","No","Si","42","31","39.0","OFICIAL","RURAL","N","F","A-"
"20224","RISARALDA","CALDAS","27.0","34","160","Estrato 2","Primaria completa","Primaria completa","5 a 6","Cuatro","No","No","Si","No","37","30","31.0","OFICIAL","RURAL","N","M","A-"
"20224","MANIZALES","CALDAS","47.0","57","219","Estrato 1","Secundaria (Bachillerato) completa","No sabe","3 a 4","Dos","Si","Si","No","Si","35","39","36.0","OFICIAL","URBANO","N","M","A-"
"20224","AGUADAS","CALDAS","48.0","41","202","Estrato 3","Primaria completa","No sabe","3 a 4","Tres","No","Si","No","Si","39","37","30.0","OFICIAL","RURAL","N","M","A-"
"20224","CHINCHINÁ","CALDAS","61.0","62","304","Estrato 4","Educación profesional completa","Primaria completa","3 a 4","Tres","Si","Si","Si","Si","62","56","67.0","NO OFICIAL","URBANO","N","M","A2"
"20224","RISARALDA","CALDAS","34.0","31","166","","","","1 a 2","Uno","No","","No","Si","32","34","38.0","OFICIAL","URBANO","N","F","A-"
"20224","MANIZALES","CALDAS","48.0","55","259","Estrato 2","Primaria incompleta","Primaria completa","1 a 2","Dos","Si","Si","No","Si","56","47","56.0","OFICIAL","URBANO","N","F","A1"
"20224","SUPÍA","CALDAS","28.0","31","161","Estrato 2","Primaria completa","No sabe","1 a 2","Dos","No","No","No","No","35","31","44.0","OFICIAL","RURAL","N","F","A-"
"20224","SAMANÁ","CALDAS","40.0","40","185","Estrato 2","Primaria completa","Primaria incompleta","3 a 4","Tres","Si","No","No","No","33","36","35.0","OFICIAL","RURAL","N","M","A-"
"20224","SAMANÁ","CALDAS","54.0","56","258","Estrato 1","Primaria incompleta","Primaria incompleta","3 a 4","Cuatro","Si","No","No","Si","47","50","50.0","OFICIAL","RURAL","","F","A1"
"20224","MANIZALES","CALDAS","56.0","56","277","Estrato 2","Primaria incompleta","No sabe","7 a 8","Tres","No","Si","No","Si","55","55","55.0","OFICIAL","URBANO","N","F","A1"
"20224","SALAMINA","CALDAS","32.0","38","172","Estrato 2","Secundaria (Bachillerato) completa","Primaria incompleta","3 a 4","Cuatro","Si","No","No","Si","40","28","33.0","OFICIAL","RURAL","N","F","A-"
"20224","SUPÍA","CALDAS","49.0","45","228","","","","3 a 4","Tres","No","","No","Si","41","51","34.0","OFICIAL","URBANO","N","M","A-"
"20224","ANSERMA","CALDAS","50.0","47","217","Estrato 3","Primaria incompleta","Primaria incompleta","5 a 6","Tres","No","No","No","Si","37","39","44.0","OFICIAL","RURAL","N","F","A-"
"20224","MANIZALES","CALDAS","51.0","64","290","Estrato 2","","","5 a 6","Tres","Si","Si","No","No","51","62","69.0","OFICIAL","RURAL","N","M","B1"
"20224","AGUADAS","CALDAS","54.0","60","269","Estrato 1","Ninguno","Ninguno","1 a 2","Uno","No","No","No","No","56","47","49.0","OFICIAL","RURAL","N","F","A1"
"20224","MANIZALES","CALDAS","57.0","55","262","Estrato 2","Primaria incompleta","Primaria incompleta","3 a 4","Dos","No","No","No","Si","47","50","53.0","NO OFICIAL","URBANO","N","M","A1"
"20224","ARANZAZU","CALDAS","56.0","65","292","Estrato 1","Primaria incompleta","Primaria incompleta","5 a 6","Tres","No","No","No","Si","58","60","42.0","OFICIAL","RURAL","N","M","A-"
"20224","MANIZALES","CALDAS","55.0","59","262","","","","3 a 4","Dos","No","","No","No","50","44","56.0","OFICIAL","URBANO","N","F","A1"
