periodo,cole_mcpio_ubicacion,cole_depto_ubicacion,punt_matematicas,punt_lectura_critica,punt_global,fami_estratovivienda,fami_educacionmadre,fami_educacionpadre,fami_personashogar,fami_cuartoshogar,fami_tienecomputador,fami_tieneinternet,fami_tieneautomovil,fami_tienelavadora,punt_c_naturales,punt_sociales_ciudadanas,punt_ingles,cole_naturaleza,cole_area_ubicacion,cole_bilingue,estu_genero,desemp_ingles
20224,MANIZALES,CALDAS,68.0,66.0,317.0,Estrato 4,Educación profesional completa,Técnica o tecnológica completa,3,Dos,1,1,1,1,61.0,57.0,68.0,Privado,URBANO,0,F,B1
20224,AGUADAS,CALDAS,50.0,55.0,257.0,Estrato 1,Primaria completa,Primaria incompleta,3,Tres,0,0,0,0,50.0,49.0,55.0,Público,RURAL,,M,A1
20224,MANIZALES,CALDAS,29.0,53.0,197.0,Estrato 1,Primaria completa,Primaria incompleta,5,Cuatro,1,1,0,1,35.0,42.0,36.0,Público,RURAL,0,F,A-
20224,CHINCHINÁ,CALDAS,60.0,60.0,303.0,Estrato 3,Educación profesional completa,Secundaria (Bachillerato) completa,2,Dos,0,1,0,1,55.0,65.0,68.0,Privado,URBANO,,M,B1
20224,MANIZALES,CALDAS,46.0,54.0,237.0,Estrato 2,Primaria completa,Primaria incompleta,3,Dos,1,1,0,1,39.0,52.0,44.0,Público,URBANO,0,M,A-
20224,RIOSUCIO,CALDAS,57.0,52.0,273.0,Estrato 2,Secundaria (Bachillerato) completa,Primaria incompleta,9,Cinco,0,0,0,1,57.0,52.0,57.0,Público,RURAL,0,M,A1
20224,MANIZALES,CALDAS,32.0,40.0,185.0,Estrato 6,Primaria completa,Ninguno,3,Cinco,1,1,1,1,32.0,41.0,47.0,Público,URBANO,0,M,A-
20224,MANIZALES,CALDAS,59.0,62.0,325.0,Estrato 5,Postgrado,No sabe,2,Dos,1,1,0,1,66.0,70.0,75.0,Privado,URBANO,0,F,B1
20224,MANIZALES,CALDAS,45.0,70.0,278.0,Estrato 3,Educación profesional completa,Educación profesional completa,2,Dos,1,1,0,1,58.0,45.0,68.0,Privado,URBANO,,F,B1
20224,MANIZALES,CALDAS,66.0,68.0,314.0,Estrato 3,Postgrado,Postgrado,2,Dos,1,1,0,1,55.0,63.0,60.0,Privado,URBANO,0,F,A2
20224,SUPÍA,CALDAS,39.0,40.0,207.0,Estrato 1,Primaria completa,No sabe,5,Seis o mas,0,0,0,0,48.0,40.0,36.0,Público,RURAL,,F,A-
20224,MANIZALES,CALDAS,46.0,48.0,228.0,Estrato 3,Primaria incompleta,Primaria incompleta,3,Dos,0,0,1,1,44.0,40.0,59.0,Público,URBANO,0,F,A2
20224,MANIZALES,CALDAS,57.0,70.0,290.0,Estrato 3,Postgrado,No sabe,3,Uno,1,1,1,1,55.0,51.0,56.0,Privado,URBANO,0,F,A1
20224,MANIZALES,CALDAS,55.0,53.0,266.0,Estrato 3,Primaria incompleta,Ninguno,7,Uno,1,1,0,1,55.0,53.0,44.0,Público,URBANO,0,M,A-
20224,MANIZALES,CALDAS,57.0,70.0,290.0,Estrato 3,Postgrado,No sabe,3,Uno,1,1,1,1,55.0,51.0,56.0,Privado,URBANO,0,F,A1
20224,SUPÍA,CALDAS,32.0,38.0,168.0,Estrato 1,Primaria completa,Primaria completa,3,Dos,0,0,0,1,35.0,28.0,38.0,Público,RURAL,0,F,A-
20224,AGUADAS,CALDAS,48.0,41.0,202.0,Estrato 3,Primaria completa,No sabe,3,Tres,0,1,0,1,39.0,37.0,30.0,Público,RURAL,0,M,A-
20224,MANIZALES,CALDAS,66.0,68.0,314.0,Estrato 3,Postgrado,Postgrado,2,Dos,1,1,0,1,55.0,63.0,60.0,Privado,URBANO,0,F,A2
20224,MANIZALES,CALDAS,68.0,70.0,335.0,Estrato 1,Primaria completa,No sabe,3,Dos,1,1,0,1,66.0,62.0,72.0,Público,URBANO,0,F,B1
20224,MANIZALES,CALDAS,42.0,52.0,222.0,Estrato 2,Primaria completa,Ninguno,,Cinco,0,1,0,1,43.0,43.0,36.0,Público,URBANO,0,M,A-
